timestamps,TP9,AF7,AF8,TP10,Right AUX
2024-06-20 17:33:28.179,892.578125,662.59765625,-296.875,-133.30078125,0.0
2024-06-20 17:33:28.183,-903.3203125,-845.21484375,-1000.0,-1000.0,0.0
2024-06-20 17:33:28.187,-258.30078125,-140.13671875,-141.11328125,-216.796875,0.0
2024-06-20 17:33:28.191,-1000.0,-1000.0,-815.91796875,-821.2890625,0.0
2024-06-20 17:33:28.195,155.2734375,16.11328125,175.78125,231.93359375,0.0
2024-06-20 17:33:28.199,-763.18359375,-768.5546875,-1000.0,-1000.0,0.0
2024-06-20 17:33:28.203,187.5,199.21875,-283.69140625,-310.05859375,0.0
2024-06-20 17:33:28.207,-1000.0,-1000.0,-825.1953125,-828.61328125,0.0
2024-06-20 17:33:28.211,-271.484375,-274.4140625,295.41015625,375.0,0.0
2024-06-20 17:33:28.214,-803.7109375,-809.5703125,-1000.0,-1000.0,0.0
2024-06-20 17:33:28.218,288.57421875,381.34765625,-664.55078125,-747.55859375,0.0
2024-06-20 17:33:28.222,-1000.0,-1000.0,942.87109375,851.5625,0.0
2024-06-20 17:33:28.226,-356.93359375,-494.140625,720.21484375,869.62890625,0.0
2024-06-20 17:33:28.230,-884.765625,-964.84375,-825.1953125,-661.62109375,0.0
2024-06-20 17:33:28.234,734.86328125,863.76953125,-1000.0,-1000.0,0.0
2024-06-20 17:33:28.238,-881.34765625,-720.21484375,224.609375,124.51171875,0.0
2024-06-20 17:33:28.242,-815.91796875,-928.22265625,-827.1484375,-794.921875,0.0
2024-06-20 17:33:28.246,743.65234375,614.74609375,-98.14453125,26.3671875,0.0
2024-06-20 17:33:28.250,-855.95703125,-829.1015625,-1000.0,-1000.0,0.0
2024-06-20 17:33:28.254,-147.94921875,-68.359375,-214.35546875,-245.1171875,0.0
2024-06-20 17:33:28.257,-1000.0,-1000.0,-819.82421875,-819.82421875,0.0
2024-06-20 17:33:28.261,35.64453125,-90.8203125,221.6796875,237.79296875,0.0
