timestamp,TP9,AF7,AF8,TP10
2024-06-05T16:29:44.546350,0.0,0.0,-0.48828125,-0.48828125,0.0
2024-06-05T16:29:44.550210,0.0,0.0,-0.48828125,-0.48828125,0.0
2024-06-05T16:29:44.554070,-36.1328125,-34.1796875,30.76171875,31.25,0.0
2024-06-05T16:29:44.557929,89.84375,82.51953125,-67.3828125,-73.2421875,0.0
2024-06-05T16:29:44.561789,-357.91015625,-350.09765625,319.3359375,327.1484375,0.0
2024-06-05T16:29:44.565648,-1000.0,-1000.0,-863.28125,-864.2578125,0.0
2024-06-05T16:29:44.569508,84.9609375,-38.57421875,240.234375,130.859375,0.0
2024-06-05T16:29:44.573367,-846.6796875,-800.29296875,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.577227,-264.6484375,-73.73046875,-276.85546875,-149.4140625,0.0
2024-06-05T16:29:44.581087,-1000.0,-1000.0,-821.2890625,-780.76171875,0.0
2024-06-05T16:29:44.584946,-220.21484375,-231.4453125,525.87890625,213.37890625,0.0
2024-06-05T16:29:44.588806,-835.44921875,-829.58984375,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.591900,237.79296875,241.2109375,-580.56640625,-275.87890625,0.0
2024-06-05T16:29:44.595695,-1000.0,-1000.0,969.7265625,-834.47265625,0.0
2024-06-05T16:29:44.599491,-360.83984375,-486.328125,999.0234375,613.76953125,0.0
2024-06-05T16:29:44.603287,-847.16796875,-896.484375,-468.26171875,-1000.0,0.0
2024-06-05T16:29:44.607083,233.88671875,438.4765625,-1000.0,-672.8515625,0.0
2024-06-05T16:29:44.610879,-1000.0,-1000.0,356.93359375,890.13671875,0.0
2024-06-05T16:29:44.614674,-895.5078125,-1000.0,-780.76171875,-899.90234375,0.0
2024-06-05T16:29:44.618470,689.453125,485.3515625,115.72265625,-263.18359375,0.0
2024-06-05T16:29:44.622266,719.23828125,943.359375,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.626062,-858.88671875,-588.37890625,-234.86328125,185.546875,0.0
2024-06-05T16:29:44.629858,-1000.0,-1000.0,-798.33984375,-760.7421875,0.0
2024-06-05T16:29:44.633653,10.25390625,-104.98046875,223.14453125,185.546875,0.0
2024-06-05T16:29:44.636647,-837.40234375,-823.2421875,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.640410,-101.5625,88.37890625,-273.92578125,-272.94921875,0.0
2024-06-05T16:29:44.644172,-1000.0,-1000.0,-834.47265625,-803.22265625,0.0
2024-06-05T16:29:44.647934,-228.02734375,-246.09375,613.76953125,308.10546875,0.0
2024-06-05T16:29:44.651697,-833.0078125,-824.21875,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.655459,241.69921875,240.234375,-670.8984375,-363.76953125,0.0
2024-06-05T16:29:44.659222,-1000.0,-1000.0,888.18359375,-889.6484375,0.0
2024-06-05T16:29:44.662984,-503.90625,-625.9765625,-898.92578125,755.37109375,0.0
2024-06-05T16:29:44.666746,-904.78515625,-979.00390625,-233.3984375,-856.93359375,0.0
2024-06-05T16:29:44.670509,344.23828125,543.45703125,-1000.0,-830.56640625,0.0
2024-06-05T16:29:44.674271,-1000.0,-979.00390625,122.55859375,732.91015625,0.0
2024-06-05T16:29:44.678034,-1000.0,-1000.0,-763.671875,-850.5859375,0.0
2024-06-05T16:29:44.682046,454.58984375,233.3984375,190.4296875,-153.3203125,0.0
2024-06-05T16:29:44.685816,948.2421875,-879.8828125,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.689585,-587.40234375,-293.45703125,-273.92578125,75.68359375,0.0
2024-06-05T16:29:44.693354,-1000.0,-1000.0,-803.22265625,-761.71875,0.0
2024-06-05T16:29:44.697124,-97.16796875,-219.7265625,331.0546875,193.359375,0.0
2024-06-05T16:29:44.700893,-833.49609375,-833.0078125,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.704662,13.671875,235.83984375,-379.8828125,-277.34375,0.0
2024-06-05T16:29:44.708432,-1000.0,-1000.0,-891.11328125,-810.546875,0.0
2024-06-05T16:29:44.712201,-236.81640625,-318.84765625,751.953125,431.15234375,0.0
2024-06-05T16:29:44.715970,-830.56640625,-833.984375,-844.23828125,-1000.0,0.0
2024-06-05T16:29:44.719740,241.69921875,237.3046875,-880.37109375,-482.421875,0.0
2024-06-05T16:29:44.723509,-1000.0,-1000.0,653.80859375,-958.0078125,0.0
2024-06-05T16:29:44.721969,-650.390625,-783.203125,-833.0078125,885.25390625,0.0
2024-06-05T16:29:44.725627,-994.62890625,832.03125,-70.3125,-670.41015625,0.0
2024-06-05T16:29:44.729286,548.33984375,718.26171875,-1000.0,-967.7734375,0.0
2024-06-05T16:29:44.732945,-978.515625,-854.4921875,-30.76171875,560.05859375,0.0
2024-06-05T16:29:44.736603,-1000.0,-1000.0,-770.01953125,-810.546875,0.0
2024-06-05T16:29:44.740262,253.90625,113.76953125,202.63671875,-15.13671875,0.0
2024-06-05T16:29:44.743921,-938.96484375,-823.2421875,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.747580,-402.83203125,-111.81640625,-276.3671875,-78.61328125,0.0
2024-06-05T16:29:44.751238,-1000.0,-1000.0,-811.5234375,-774.4140625,0.0
2024-06-05T16:29:44.754897,-208.984375,-229.4921875,431.640625,207.03125,0.0
2024-06-05T16:29:44.758556,-847.65625,-830.56640625,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.762214,136.71875,241.2109375,-497.0703125,-277.34375,0.0
2024-06-05T16:29:44.763076,-1000.0,-1000.0,-985.83984375,-821.2890625,0.0
2024-06-05T16:29:44.766688,-346.19140625,-456.0546875,938.96484375,525.87890625,0.0
2024-06-05T16:29:44.770300,-856.93359375,-883.30078125,-550.29296875,-1000.0,0.0
2024-06-05T16:29:44.773912,246.58203125,373.53515625,-1000.0,-580.078125,0.0
2024-06-05T16:29:44.777524,-1000.0,-1000.0,403.3203125,969.7265625,0.0
2024-06-05T16:29:44.781137,-786.1328125,-911.1328125,-785.15625,999.0234375,0.0
2024-06-05T16:29:44.784749,845.703125,635.7421875,71.77734375,-468.75,0.0
2024-06-05T16:29:44.788361,657.2265625,909.1796875,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.791973,-917.96875,-629.8828125,-152.34375,352.05078125,0.0
2024-06-05T16:29:44.795585,-1000.0,-1000.0,-780.76171875,-777.83203125,0.0
2024-06-05T16:29:44.799197,125.0,-8.30078125,213.37890625,181.640625,0.0
2024-06-05T16:29:44.802809,-851.07421875,-816.89453125,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.806348,-213.37890625,2.9296875,-275.87890625,-268.5546875,0.0
2024-06-05T16:29:44.809959,-1000.0,-1000.0,-826.66015625,-799.8046875,0.0
2024-06-05T16:29:44.813570,-220.703125,-238.28125,558.59375,225.09765625,0.0
2024-06-05T16:29:44.817182,-837.40234375,-827.63671875,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.820793,241.69921875,242.1875,-638.671875,-273.4375,0.0
2024-06-05T16:29:44.824404,-1000.0,-1000.0,903.80859375,-834.47265625,0.0
2024-06-05T16:29:44.828015,-463.37890625,-561.5234375,-912.59765625,613.76953125,0.0
2024-06-05T16:29:44.831626,-886.71875,-939.94140625,-277.83203125,-1000.0,0.0
2024-06-05T16:29:44.835237,349.12109375,515.625,-1000.0,-666.9921875,0.0
2024-06-05T16:29:44.838848,-1000.0,-1000.0,186.03515625,881.34765625,0.0
2024-06-05T16:29:44.842459,-915.52734375,-1000.0,-761.23046875,-886.71875,0.0
2024-06-05T16:29:44.846070,660.64453125,433.59375,185.546875,-173.828125,0.0
2024-06-05T16:29:44.851882,808.10546875,-947.75390625,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.855520,-756.34765625,-409.66796875,-269.04296875,90.33203125,0.0
2024-06-05T16:29:44.859157,-1000.0,-1000.0,-802.734375,-762.20703125,0.0
2024-06-05T16:29:44.862794,-17.578125,-179.19921875,245.60546875,192.3828125,0.0
2024-06-05T16:29:44.866431,-842.7734375,-833.49609375,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.870069,-97.16796875,126.46484375,-328.125,-273.4375,0.0
2024-06-05T16:29:44.873706,-1000.0,-1000.0,-878.90625,-803.22265625,0.0
2024-06-05T16:29:44.877343,-227.5390625,-247.55859375,726.5625,330.56640625,0.0
2024-06-05T16:29:44.880980,-834.9609375,-822.75390625,-883.30078125,-1000.0,0.0
2024-06-05T16:29:44.884618,242.67578125,239.74609375,-825.68359375,-374.51171875,0.0
2024-06-05T16:29:44.888255,-1000.0,-1000.0,731.93359375,-906.73828125,0.0
2024-06-05T16:29:44.891892,-560.546875,-649.90234375,-850.5859375,807.6171875,0.0
2024-06-05T16:29:44.899520,-935.546875,996.09375,-153.3203125,-761.23046875,0.0
2024-06-05T16:29:44.903199,451.171875,632.32421875,-1000.0,-917.48046875,0.0
2024-06-05T16:29:44.906878,-1000.0,-918.45703125,75.68359375,614.74609375,0.0
2024-06-05T16:29:44.910557,-1000.0,-1000.0,-761.71875,-820.80078125,0.0
2024-06-05T16:29:44.914236,462.890625,172.36328125,193.359375,-40.52734375,0.0
2024-06-05T16:29:44.917915,938.96484375,-847.16796875,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.921593,-580.078125,-216.796875,-276.3671875,-37.59765625,0.0
2024-06-05T16:29:44.925272,-1000.0,-1000.0,-809.5703125,-768.5546875,0.0
2024-06-05T16:29:44.928951,-209.47265625,-221.19140625,400.390625,202.63671875,0.0
2024-06-05T16:29:44.932630,-846.6796875,-832.51953125,-1000.0,-1000.0,0.0
2024-06-05T16:29:44.936309,130.37109375,238.28125,-472.16796875,-276.3671875,0.0
