timestamp,TP9,AF7,AF8,TP10,Right AUX
2024-06-05T16:33:18.399577,0.0,0.0,-0.48828125,-0.48828125,0.0
2024-06-05T16:33:18.403436,0.0,0.0,-0.48828125,-0.48828125,0.0
2024-06-05T16:33:18.407296,-45.8984375,-44.43359375,36.62109375,39.0625,0.0
2024-06-05T16:33:18.411155,124.51171875,118.1640625,-93.75,-101.07421875,0.0
2024-06-05T16:33:18.415015,-438.4765625,-421.875,358.3984375,373.046875,0.0
2024-06-05T16:33:18.418875,-939.94140625,-994.62890625,-905.2734375,-942.87109375,0.0
2024-06-05T16:33:18.422734,564.453125,485.83984375,-173.33984375,-288.57421875,0.0
2024-06-05T16:33:18.426594,-929.19921875,-933.59375,-1000.0,-1000.0,0.0
2024-06-05T16:33:18.430453,-430.17578125,-436.03515625,69.3359375,189.453125,0.0
2024-06-05T16:33:18.434313,-1000.0,-1000.0,-768.5546875,-763.671875,0.0
2024-06-05T16:33:18.438172,-5.859375,-87.890625,195.3125,185.546875,0.0
2024-06-05T16:33:18.442032,-795.8984375,-807.6171875,-1000.0,-1000.0,0.0
2024-06-05T16:33:18.444765,103.515625,154.296875,-272.4609375,-268.06640625,0.0
2024-06-05T16:33:18.448531,-1000.0,-1000.0,-806.640625,-804.19921875,0.0
2024-06-05T16:33:18.452296,-251.46484375,-255.859375,321.2890625,230.46875,0.0
2024-06-05T16:33:18.456062,-821.2890625,-817.3828125,-1000.0,-1000.0,0.0
2024-06-05T16:33:18.459828,239.74609375,238.76953125,-455.56640625,-355.95703125,0.0
2024-06-05T16:33:18.463593,-1000.0,-1000.0,-924.8046875,-869.140625,0.0
2024-06-05T16:33:18.467359,-562.01171875,-562.01171875,759.765625,645.01953125,0.0
2024-06-05T16:33:18.471125,-949.70703125,-948.73046875,-830.56640625,-978.02734375,0.0
2024-06-05T16:33:18.474890,602.5390625,606.93359375,-951.171875,-809.5703125,0.0
2024-06-05T16:33:18.478656,-972.16796875,-951.171875,569.3359375,732.91015625,0.0
2024-06-05T16:33:18.482422,-1000.0,-1000.0,-830.078125,-860.83984375,0.0
2024-06-05T16:33:18.486188,405.76171875,329.58984375,-120.1171875,-187.01171875,0.0
2024-06-05T16:33:18.487105,-849.12109375,-848.14453125,-1000.0,-1000.0,0.0
2024-06-05T16:33:18.490752,-234.375,-226.07421875,-42.96875,75.68359375,0.0
2024-06-05T16:33:18.494399,-1000.0,-1000.0,-776.3671875,-764.16015625,0.0
2024-06-05T16:33:18.498046,-121.09375,-196.77734375,205.078125,193.359375,0.0
